equipes,no_cidade,lat,long
"114","Santana do Araguaia","-9.329424525","-50.344804321129"
"591","Santarém","-2.43621332999996","-54.7185701672711"
"11","Santarém Novo","-0.928719535783208","-47.400924744868"
"66","Santo Antônio do Tauá","-1.1516925","-48.1324330748457"
"51","São Caetano de Odivelas","-0.746617759994861","-48.0258054980831"
"55","São Domingos do Araguaia","-5.549841","-48.7203734107843"
"97","São Domingos do Capim","-1.6758145","-47.7747845692256"
"204","São Félix do Xingu","-6.64248327834078","-51.9937825239643"
"51","São Francisco do Pará","-1.17018878467697","-47.7905146107051"
"64","São Geraldo do Araguaia","-6.39895797","-48.5557124861926"
"17","São João da Ponta","-0.851002145269607","-47.9207241656462"
"63","São João de Pirabas","-0.766442531515371","-47.1726742979205"
"46","São João do Araguaia","-5.3590027244164","-48.7886334020461"
"92","São Miguel do Guamá","-1.61713591449048","-47.4824089444892"
"58","São Sebastião da Boa Vista","-1.7188505","-49.5323121746161"
"15","Sapucaia","-6.94285711257384","-49.7035807118843"
"38","Senador José Porfírio","-2.59485041832352","-51.9530564180171"
"48","Soure","-0.7259255","-48.5160126622773"
"98","Tailândia","-2.9370795","-48.9512816295758"
"30","Terra Alta","-1.03482666361629","-47.9078083483743"
"44","Terra Santa","-2.10811447373903","-56.4909047722432"
"108","Tomé-Açu","-2.41936685526732","-48.146896586572"
"91","Tracuateua","-1.06878405856835","-46.899478337117"
"56","Trairão","-4.69981914969727","-55.9961700349273"
"89","Tucumã","-6.74997200738228","-51.1395392466358"
"135","Tucuruí","-3.76688908431163","-49.6671843672248"
"97","Ulianópolis","-3.75719301","-47.5031447549991"
"114","Uruará","-3.7065285","-53.7370310504594"
"105","Vigia","-0.855532573667763","-48.1414985852069"
"130","Viseu","-1.20327852667727","-46.1387652161496"
"22","Vitória do Xingu","-2.8837657102288","-52.0112603538154"
"112","Xinguara","-7.10151282714603","-49.9427005843752"
"14","Serra do Navio","0.897841040971923","-52.0035384352917"
"21","Amapá","2.05392124468205","-50.7932144702699"
"23","Pedra Branca do Amapari","0.776882860563944","-51.9465942732743"
"20","Calçoene","2.49655904456697","-50.9447727342665"
"12","Cutias","0.97107805541715","-50.8016260298776"
"16","Ferreira Gomes","0.853977393142956","-51.1874290460046"
"14","Itaubal","0.600653288304609","-50.7001794374183"
"97","Laranjal do Jari","-0.8556645","-52.5390207369392"
"426","Macapá","0.03895101","-51.0574054570359"
"19","Mazagão","-0.124396328821101","-51.2860768561012"
"42","Oiapoque","3.85113073255929","-51.8305525552731"
"23","Porto Grande","0.712554701824323","-51.4144488229915"
"7","Pracuúba","1.74250848707833","-50.7842537212883"
"214","Santana","-0.0383734790956602","-51.1728464650687"
"16","Tartarugalzinho","1.50984824031107","-50.9127861523142"
"40","Vitória do Jari","-0.918977088542798","-52.4196147795718"
"8","Abreulândia","-9.62179071199835","-49.1624375554797"
"13","Aguiarnópolis","-6.5471708206181","-47.470456587945"
"11","Aliança do Tocantins","-11.3037430465088","-48.9412400221409"
"23","Almas","-11.5745234694478","-47.1741716842358"
"22","Alvorada","-12.4788153208226","-49.12681140673"
"34","Ananás","-6.36281815410008","-48.0797646061948"
"10","Angico","-6.3877527497248","-47.8620778391735"
"12","Aparecida do Rio Negro","-9.9558777145605","-47.9766700113511"
"19","Aragominas","-7.16434927144369","-48.5234301922917"
"19","Araguacema","-8.80180254411114","-49.5618126396073"
"26","Araguaçu","-12.9255837118616","-49.8286124432782"
"286","Araguaína","-7.19132893965495","-48.2087052518558"
"16","Araguanã","-6.58224942002919","-48.643749546943"
"89","Araguatins","-5.65058647299995","-48.1235073430294"
"16","Arapoema","-7.65256973541903","-49.0756373852721"
"33","Arraias","-12.9344198592593","-46.9461070585533"
"43","Augustinópolis","-5.46541429589652","-47.8809567910047"
"9","Aurora do Tocantins","-12.7084898610614","-46.4070829808607"
"25","Axixá do Tocantins","-5.62430906592745","-47.7741560325221"
"34","Babaçulândia","-7.20186453206148","-47.7588161270323"
"0","Bandeirantes do Tocantins","-7.76485914125332","-48.5783806048644"
"12","Barra do Ouro","-7.69176659865687","-47.6871349692244"
"13","Barrolândia","-9.83165336453342","-48.7314605907218"
"15","Bernardo Sayão","-7.86851248331281","-48.8990543467276"
"9","Bom Jesus do Tocantins","-8.96334801285521","-48.1663804935405"
"6","Brasilândia do Tocantins","-8.38488935107799","-48.485374419124"
"14","Brejinho de Nazaré","-11.0108050561865","-48.5586602281507"
"17","Buriti do Tocantins","-5.31353885638916","-48.223250128075"
"5","Cachoeirinha","-6.11324164650466","-47.9141977785589"
"25","Campos Lindos","-7.97168139413731","-46.8019743467067"
"11","Cariri do Tocantins","-11.8889974638744","-49.1710407289889"
"7","Carmolândia","-7.03147877786105","-48.3959599306274"
"11","Carrasco Bonito","-5.32266135485804","-48.0306334265692"
"14","Caseara","-9.26740621890348","-49.9486922677787"
"8","Centenário","-8.9584636390938","-47.3383985145873"
"4","Chapada de Areia","-10.1419885833333","-49.1831078580314"
"12","Chapada da Natividade","-11.6242678313621","-47.7539048918565"
"77","Colinas do Tocantins","-8.05462467549995","-48.4815945437489"
"12","Combinado","-12.8186076720311","-46.552072340266"
"14","Conceição do Tocantins","-12.2172777669654","-47.292868810807"
"13","Couto Magalhães","-8.35511836963524","-49.176571570853"
"18","Cristalândia","-10.5907246371176","-49.1863002912612"
"5","Crixás do Tocantins","-11.1042742936042","-48.9155138256477"
"16","Darcinópolis","-6.71235100148176","-47.7521611102799"
"43","Dianópolis","-11.625231878065","-46.8204090669435"
"19","Divinópolis do Tocantins","-9.79530114022946","-49.2054131873503"
"22","Dois Irmãos do Tocantins","-9.26129670979711","-49.0673386442723"
"14","Dueré","-11.3412854167798","-49.2658759161628"
"24","Esperantina","-5.36660805940451","-48.5441476004124"
"10","Fátima","-10.7525087280847","-48.8989826586808"
"7","Figueirópolis","-12.1367799832225","-49.1738467307433"
"27","Filadélfia","-7.3376119059308","-47.4849641415319"
"48","Formoso do Araguaia","-11.8051419686494","-49.5268603629125"
"8","Fortaleza do Tabocão","-9.05896530114982","-48.5174264210488"
"17","Goianorte","-8.77052080482938","-48.9368901923611"
"37","Goiatins","-7.7091723901957","-47.3154354891583"
"58","Guaraí","-8.83616565750442","-48.5086406064702"
"173","Gurupi","-11.72977232286","-49.0714774689303"
"4","Ipueiras","-11.2462886215917","-48.4519262288947"
"21","Itacajá","-8.39098055231856","-47.768112402678"
"20","Itaguatins","-5.77538508840222","-47.4799359489833"
"12","Itapiratins","-8.38432959344296","-48.1111996094691"
"9","Itaporã do Tocantins","-8.56882861156053","-48.6932637032248"
"13","Jaú do Tocantins","-12.6529263692705","-48.5946082927248"
"7","Juarina","-8.11742396760677","-49.0986431854272"
"27","Lagoa da Confusão","-10.7886955575897","-49.620085339146"
"9","Lagoa do Tocantins","-10.2968866969997","-47.5614466302738"
"9","Lajeado","-9.74468243573559","-48.3585039506901"
"5","Lavandeira","-12.7916587876517","-46.5066757157435"
"12","Lizarda","-9.59457028780967","-46.6751654558461"
"7","Luzinópolis","-6.19398966023576","-47.856828041414"
"13","Marianópolis do Tocantins","-9.79888035935058","-49.6510339944378"
"0","Mateiros","-10.5444288460777","-46.412465743092"
"4","Maurilândia do Tocantins","-5.95256642121045","-47.5048799601751"
"24","Miracema do Tocantins","-9.56834607764651","-48.3879913115193"
"32","Miranorte","-9.51740473109312","-48.5926319369139"
"12","Monte do Carmo","-10.7635421946237","-48.1104200299112"
"6","Monte Santo do Tocantins","-10.005591431794","-48.9908906033935"
"17","Palmeiras do Tocantins","-6.6118623345617","-47.5586835262825"
"10","Muricilândia","-7.13851928516033","-48.6067452770067"
"23","Natividade","-11.7053573825042","-47.7272575338232"
"13","Nazaré","-6.37255796928561","-47.6669771825263"
"35","Nova Olinda","-7.6333149106925","-48.4248067900164"
"10","Nova Rosalândia","-10.5668711393323","-48.9061807245023"
"10","Novo Acordo","-9.96848646570169","-47.6681483922167"
"6","Novo Alegre","-12.9099386744081","-46.5772973536675"
"7","Novo Jardim","-11.815875050149","-46.6307872958899"
"3","Oliveira de Fátima","-10.7083627090618","-48.9074015689032"
"15","Palmeirante","-7.85756137614504","-47.9342497089842"
"18","Palmeirópolis","-13.0398884336692","-48.4134139552316"
"100","Paraíso do Tocantins","-10.1712207549999","-48.8866300840169"
"34","Paranã","-12.6204814887182","-47.8840837284426"
"14","Pau D'Arco","-7.53999835569997","-49.3633064810091"
"25","Pedro Afonso","-8.96444959242294","-48.1775561127386"
"30","Peixe","-12.029773830853","-48.537810626336"
"15","Pequizeiro","-8.59334065444844","-48.9351798669158"
"27","Colméia","-8.72937180681859","-48.7570665856948"
"14","Pindorama do Tocantins","-11.1382025846808","-47.5756877172877"
"12","Piraquê","-6.76977703340734","-48.2937073910931"
"19","Pium","-10.4409311179304","-49.1666580115747"
"14","Ponte Alta do Bom Jesus","-12.0878129084344","-46.4695867923952"
"21","Ponte Alta do Tocantins","-10.7406728486814","-47.5411803583019"
"8","Porto Alegre do Tocantins","-11.6072590990884","-47.0474256004295"
"120","Porto Nacional","-10.708569917","-48.4121534584309"
"22","Praia Norte","-5.39671287737826","-47.8147317333423"
"10","Presidente Kennedy","-8.52996082761917","-48.504330670109"
"7","Pugmil","-10.4243071562467","-48.8942204487831"
"12","Recursolândia","-8.73536045388012","-47.2380411950208"
"13","Riachinho","-6.4422113876974","-48.1410455020379"
"4","Rio da Conceição","-11.404940023899","-46.8803997045722"
"10","Rio dos Bois","-9.3437422386879","-48.5330479716014"
"21","Rio Sono","-9.3477893341161","-47.8999416391395"
"10","Sampaio","-5.3492956164967","-47.8757924571994"
"14","Sandolândia","-12.5416001674832","-49.9333881543012"
"22","Santa Fé do Araguaia","-7.1499363850312","-48.6939418034376"
"8","Santa Maria do Tocantins","-8.77497644926651","-47.7452704192246"
"6","Santa Rita do Tocantins","-10.8664553694029","-48.9092940073589"
"13","Santa Rosa do Tocantins","-11.4514039985494","-48.1199542217524"
"0","Santa Tereza do Tocantins","-10.2823615278187","-47.8062883215081"
